Protocol,Length,Src_IP,Dst_IP,Src_Port,Dst_Port,Timestamp,Anomaly
TCP,74,10.0.2.15,10.0.2.2,52140,10621,1629118909.176299,1
TCP,54,10.0.2.2,10.0.2.15,6565,58522,1629118909.176299,1
TCP,74,10.0.2.15,10.0.2.2,50018,1199,1629118909.178251,1
TCP,54,10.0.2.2,10.0.2.15,1044,37496,1629118909.178251,1
TCP,74,10.0.2.15,10.0.2.2,46350,1862,1629118909.179227,1
TCP,54,10.0.2.2,10.0.2.15,783,57500,1629118909.180203,1
TCP,74,10.0.2.15,10.0.2.2,59034,9040,1629118909.181179,1
TCP,54,10.0.2.2,10.0.2.15,6646,35802,1629118909.181179,1
TCP,74,10.0.2.15,10.0.2.2,39630,50001,1629118909.182155,1
TCP,54,10.0.2.2,10.0.2.15,1093,39852,1629118909.182155,1
TCP,74,10.0.2.15,10.0.2.2,34132,9898,1629118909.183131,1
TCP,54,10.0.2.2,10.0.2.15,9050,45142,1629118909.184108,1
TCP,74,10.0.2.15,10.0.2.2,53728,873,1629118909.185084,1
TCP,54,10.0.2.2,10.0.2.15,44443,47324,1629118909.185084,1
TCP,74,10.0.2.15,10.0.2.2,49940,49160,1629118909.186059,1
TCP,74,10.0.2.2,10.0.2.15,514,49050,1629118909.187035,1
TCP,74,10.0.2.15,10.0.2.2,34778,10010,1629118909.188011,1
TCP,54,10.0.2.2,10.0.2.15,32779,42822,1629118909.188011,1
TCP,74,10.0.2.15,10.0.2.2,34464,5922,1629118909.189001,1
TCP,54,10.0.2.2,10.0.2.15,7937,53024,1629118909.189963,1
TCP,74,10.0.2.15,10.0.2.2,60584,5862,1629118909.190939,1
TCP,54,10.0.2.2,10.0.2.15,1192,49564,1629118909.190939,1
TCP,74,10.0.2.15,10.0.2.2,39892,1058,1629118909.191915,1
TCP,54,10.0.2.2,10.0.2.15,1148,54980,1629118909.191915,1
TCP,74,10.0.2.15,10.0.2.2,54302,1443,1629118909.192892,1
TCP,54,10.0.2.2,10.0.2.15,8087,53440,1629118909.193868,1
TCP,74,10.0.2.15,10.0.2.2,56132,1056,1629118909.194843,1
TCP,54,10.0.2.2,10.0.2.15,2500,60726,1629118909.194843,1
TCP,74,10.0.2.15,10.0.2.2,35472,4900,1629118909.196795,1
TCP,54,10.0.2.2,10.0.2.15,9110,42478,1629118909.196795,1
TCP,74,10.0.2.15,10.0.2.2,57234,8022,1629118909.197771,1
TCP,54,10.0.2.2,10.0.2.15,687,53536,1629118909.197771,1
TCP,74,10.0.2.15,10.0.2.2,35562,32781,1629118909.198747,1
TCP,54,10.0.2.2,10.0.2.15,1658,60720,1629118909.199725,1
TCP,66,10.0.2.15,10.0.2.2,33960,8180,1629118909.2007,1
TCP,54,10.0.2.2,10.0.2.15,9503,42084,1629118909.201677,1
TCP,66,10.0.2.15,10.0.2.2,33960,8180,1629118909.203628,1
TCP,54,10.0.2.2,10.0.2.15,2030,34724,1629118909.203628,1
TCP,74,10.0.2.15,10.0.2.2,33340,7402,1629118909.204603,1
TCP,54,10.0.2.2,10.0.2.15,1001,43418,1629118909.205581,1
TCP,74,10.0.2.15,10.0.2.2,50376,2000,1629118909.206556,1
TCP,54,10.0.2.2,10.0.2.15,3221,39462,1629118909.207532,1
TCP,74,10.0.2.15,10.0.2.2,53452,25735,1629118909.208507,1
TCP,54,10.0.2.2,10.0.2.15,20031,47892,1629118909.209483,1
TCP,74,10.0.2.15,10.0.2.2,59702,10009,1629118909.21046,1
TCP,54,10.0.2.2,10.0.2.15,1114,49772,1629118909.21046,1
TCP,74,10.0.2.15,10.0.2.2,53488,2046,1629118909.211436,1
TCP,54,10.0.2.2,10.0.2.15,667,37416,1629118909.212412,1
TCP,74,10.0.2.15,10.0.2.2,57144,6129,1629118909.214364,1
TCP,54,10.0.2.2,10.0.2.15,10621,52140,1629118909.214364,1
TCP,74,10.0.2.15,10.0.2.2,47762,81,1629118909.215341,1
TCP,54,10.0.2.2,10.0.2.15,1199,50018,1629118909.216316,1
TCP,74,10.0.2.15,10.0.2.2,33198,880,1629118909.217293,1
TCP,54,10.0.2.2,10.0.2.15,1862,46350,1629118909.217293,1
TCP,74,10.0.2.15,10.0.2.2,44250,9099,1629118909.218269,1
TCP,54,10.0.2.2,10.0.2.15,9040,59034,1629118909.219245,1
TCP,74,10.0.2.15,10.0.2.2,43456,765,1629118909.22022,1
TCP,54,10.0.2.2,10.0.2.15,50001,39630,1629118909.221196,1
TCP,74,10.0.2.15,10.0.2.2,38220,3269,1629118909.222171,1
TCP,54,10.0.2.2,10.0.2.15,9898,34132,1629118909.223148,1
TCP,66,10.0.2.15,10.0.2.2,41496,6000,1629118909.224124,1
TCP,54,10.0.2.2,10.0.2.15,873,53728,1629118909.224604,1
TCP,66,10.0.2.15,10.0.2.2,41496,6000,1629118909.226075,1
TCP,54,10.0.2.2,10.0.2.15,49160,49940,1629118909.226075,1
TCP,74,10.0.2.15,10.0.2.2,55230,57797,1629118909.227052,1
TCP,54,10.0.2.2,10.0.2.15,10010,34778,1629118909.228027,1
TCP,74,10.0.2.15,10.0.2.2,51484,406,1629118909.229016,1
TCP,54,10.0.2.2,10.0.2.15,5922,34464,1629118909.229016,1
TCP,74,10.0.2.15,10.0.2.2,58480,5901,1629118909.229979,1
TCP,54,10.0.2.2,10.0.2.15,5862,60584,1629118909.229979,1
TCP,74,10.0.2.15,10.0.2.2,37992,1494,1629118909.230955,1
TCP,54,10.0.2.2,10.0.2.15,1058,39892,1629118909.231931,1
TCP,74,10.0.2.15,10.0.2.2,46962,1217,1629118909.232907,1
TCP,54,10.0.2.2,10.0.2.15,1443,54302,1629118909.233883,1
TCP,74,10.0.2.15,10.0.2.2,45196,7070,1629118909.234859,1
TCP,54,10.0.2.2,10.0.2.15,1056,56132,1629118909.234859,1
TCP,74,10.0.2.15,10.0.2.2,52118,212,1629118909.234859,1
